route,direction,scheduled,actual,minutes_late
C,northbound,2016-04-06 17:15:33,2016-04-06 17:17:04,1.5166666666666666
C,northbound,2016-04-06 14:42:31,2016-04-06 14:46:00,3.4833333333333334
C,northbound,2016-04-06 12:21:28,2016-04-06 12:19:45,-1.7166666666666666
C,northbound,2016-04-06 09:57:28,2016-04-06 10:02:12,4.733333333333333
C,northbound,2016-04-06 07:41:31,2016-04-06 07:48:33,7.033333333333333
C,northbound,2016-04-06 22:45:25,2016-04-06 22:45:00,-0.4166666666666667
C,northbound,2016-04-06 17:37:33,2016-04-06 17:40:13,2.6666666666666665
C,northbound,2016-04-06 15:09:31,2016-04-06 15:09:16,-0.25
C,northbound,2016-04-06 10:21:28,2016-04-06 10:15:33,-5.916666666666667
C,northbound,2016-04-06 08:06:31,2016-04-06 08:08:04,1.55
C,northbound,2016-04-06 16:33:33,2016-04-06 16:32:25,-1.1333333333333333
C,northbound,2016-04-05 12:09:28,2016-04-05 12:08:50,-0.6333333333333333
C,northbound,2016-04-05 09:45:28,2016-04-05 09:50:13,4.75
C,northbound,2016-04-05 07:33:31,2016-04-05 07:41:02,7.516666666666667
C,northbound,2016-04-05 16:33:33,2016-04-05 16:30:55,-2.6333333333333333
C,northbound,2016-04-05 14:09:31,2016-04-05 14:07:46,-1.75
C,northbound,2016-04-05 11:57:28,2016-04-05 11:56:33,-0.9166666666666666
C,northbound,2016-04-05 09:35:28,2016-04-05 09:41:31,6.05
C,northbound,2016-04-05 07:18:31,2016-04-05 07:20:26,1.9166666666666667
C,northbound,2016-04-05 00:30:25,2016-04-05 00:29:00,-1.4166666666666667
C,northbound,2016-04-05 22:15:25,2016-04-05 22:16:26,1.0166666666666666
C,northbound,2016-04-05 20:00:25,2016-04-05 20:03:58,3.55
C,northbound,2016-04-05 17:29:33,2016-04-05 17:34:42,5.15
C,northbound,2016-04-05 15:01:31,2016-04-05 15:04:42,3.183333333333333
C,northbound,2016-04-05 17:37:33,2016-04-05 17:40:44,3.183333333333333
C,northbound,2016-04-05 15:09:31,2016-04-05 15:12:47,3.2666666666666666
C,northbound,2016-04-05 12:45:28,2016-04-05 12:42:26,-3.033333333333333
C,northbound,2016-04-05 10:21:28,2016-04-05 10:20:27,-1.0166666666666666
C,northbound,2016-04-05 08:06:31,2016-04-05 08:09:17,2.7666666666666666
C,northbound,2016-04-05 06:00:25,2016-04-05 06:03:43,3.3
C,northbound,2016-04-05 18:28:31,2016-04-05 18:30:56,2.4166666666666665
C,northbound,2016-04-05 21:00:25,2016-04-05 20:59:25,-1.0
C,northbound,2016-04-05 13:21:28,2016-04-05 13:18:13,-3.25
C,northbound,2016-04-04 06:30:31,2016-04-04 06:33:37,3.1
C,northbound,2016-04-04 23:15:25,2016-04-04 23:16:53,1.4666666666666666
C,northbound,2016-04-04 21:00:25,2016-04-04 21:04:59,4.566666666666666
C,northbound,2016-04-04 18:28:31,2016-04-04 18:36:24,7.883333333333334
C,northbound,2016-04-04 16:05:33,2016-04-04 16:18:34,13.016666666666667
C,northbound,2016-04-04 18:19:31,2016-04-04 18:26:31,7.0
C,northbound,2016-04-04 15:58:31,2016-04-04 16:09:26,10.916666666666666
C,northbound,2016-04-04 08:17:31,2016-04-04 08:22:06,4.583333333333333
C,northbound,2016-04-04 08:12:31,2016-04-04 08:20:35,8.066666666666666
C,northbound,2016-04-04 19:07:28,2016-04-04 19:15:30,8.033333333333333
C,northbound,2016-04-04 07:47:31,2016-04-04 07:47:10,-0.35
C,northbound,2016-04-04 04:35:25,2016-04-04 04:43:33,8.133333333333333
C,northbound,2016-04-04 02:10:25,2016-04-04 02:15:58,5.55
C,northbound,2016-04-04 00:00:25,2016-04-04 00:06:14,5.816666666666666
C,northbound,2016-04-04 21:45:25,2016-04-04 21:59:40,14.25
C,northbound,2016-04-04 08:56:31,2016-04-04 09:00:31,4.0
C,northbound,2016-04-04 22:45:25,2016-04-04 22:44:46,-0.65
C,northbound,2016-04-04 20:27:25,2016-04-04 20:30:17,2.8666666666666667
C,northbound,2016-04-04 18:10:31,2016-04-04 18:24:37,14.1
C,northbound,2016-04-04 13:33:28,2016-04-04 13:33:48,0.3333333333333333
C,northbound,2016-04-04 11:09:28,2016-04-04 11:07:32,-1.9333333333333333
C,northbound,2016-04-04 22:15:25,2016-04-04 22:15:43,0.3
C,northbound,2016-04-03 10:45:28,2016-04-03 10:39:47,-5.683333333333334
C,northbound,2016-04-03 08:15:28,2016-04-03 08:10:12,-5.266666666666667
C,northbound,2016-04-03 23:30:25,2016-04-03 23:31:42,1.2833333333333334
C,northbound,2016-04-03 21:15:25,2016-04-03 21:16:55,1.5
C,northbound,2016-04-03 19:00:25,2016-04-03 18:59:35,-0.8333333333333334
C,northbound,2016-04-03 16:30:28,2016-04-03 16:25:54,-4.566666666666666
C,northbound,2016-04-03 14:00:28,2016-04-03 14:00:53,0.4166666666666667
C,northbound,2016-04-03 11:30:28,2016-04-03 11:26:13,-4.25
C,northbound,2016-04-03 09:00:28,2016-04-03 08:51:38,-8.833333333333334
C,northbound,2016-04-03 07:00:28,2016-04-03 06:56:48,-3.6666666666666665
C,northbound,2016-04-03 02:10:25,2016-04-03 02:14:41,4.266666666666667
C,northbound,2016-04-03 00:00:25,2016-04-03 00:00:28,0.05
C,northbound,2016-04-03 21:45:25,2016-04-03 21:48:54,3.4833333333333334
C,northbound,2016-04-03 19:15:25,2016-04-03 19:11:38,-3.783333333333333
C,northbound,2016-04-03 16:45:28,2016-04-03 16:42:10,-3.3
C,northbound,2016-04-03 14:15:28,2016-04-03 14:12:42,-2.7666666666666666
C,northbound,2016-04-03 11:45:28,2016-04-03 11:36:40,-8.8
C,northbound,2016-04-03 09:15:28,2016-04-03 09:06:02,-9.433333333333334
C,northbound,2016-04-03 07:15:28,2016-04-03 07:10:04,-5.4
C,northbound,2016-04-03 19:30:25,2016-04-03 19:34:12,3.783333333333333
C,northbound,2016-04-03 17:15:28,2016-04-03 17:12:59,-2.4833333333333334
C,northbound,2016-04-03 14:45:28,2016-04-03 14:42:29,-2.9833333333333334
C,northbound,2016-04-03 12:15:28,2016-04-03 12:10:20,-5.133333333333334
C,northbound,2016-04-03 09:45:28,2016-04-03 09:39:45,-5.716666666666667
C,northbound,2016-04-03 22:30:25,2016-04-03 22:31:41,1.2666666666666666
C,northbound,2016-04-03 20:15:25,2016-04-03 20:18:20,2.9166666666666665
C,northbound,2016-04-03 18:00:28,2016-04-03 17:57:05,-3.3833333333333333
C,northbound,2016-04-03 15:30:28,2016-04-03 15:29:01,-1.45
